Compania,Orden,Posicion,Entrega,TipoTrans,NumFac,Articulo,FchFac,Cliente
225,183408,10,0,FAT,172406,KS290018633     ,07/11/2020,570
225,183409,10,0,FAT,171960,KS320017888     ,26/10/2020,570
225,183409,20,0,FAT,172575,KS320017888     ,10/11/2020,570
225,183410,10,0,FAT,170769,KS320020580     ,24/09/2020,115029
225,183410,20,0,FAT,171937,BS290020453     ,26/10/2020,115029
225,183410,30,0,FAT,171331,BS290020454     ,09/10/2020,115029
225,183410,50,0,FAT,171331,BS400020575     ,09/10/2020,115029
225,183411,10,0,FAT,172407,KS320018299     ,07/11/2020,570
225,183412,10,0,FAT,170871,220012037       ,28/09/2020,1077
225,183413,10,0,FAT,171879,KS320018478     ,23/10/2020,570
225,183413,20,0,FAT,172272,KS320018478     ,04/11/2020,570
225,183413,30,0,FAT,172767,KS320018478     ,15/11/2020,570
225,183415,10,0,FAT,170783,010015471       ,25/09/2020,864
225,183416,10,0,FAT,171919,010015716       ,24/10/2020,864
225,183419,30,0,FAT,170660,BS320020697     ,22/09/2020,3020
225,183421,10,0,FAT,170532,KS290019407     ,18/09/2020,696
225,183424,10,0,FAT,171017,KS360020959     ,01/10/2020,1021
225,183425,10,0,FAT,170658,KS400020986     ,22/09/2020,1006
225,183426,10,0,FAT,171079,02008398        ,03/10/2020,207
225,183427,10,0,FAT,170803,KS440019783     ,25/09/2020,792
225,183428,10,0,FAT,170702,KD480020647     ,23/09/2020,10014
225,183429,20,0,FAT,171546,KD480018874     ,15/10/2020,115034
225,183431,10,0,FAT,170741,010019715       ,24/09/2020,115089
225,183432,10,0,FAT,170525,KD480017878     ,18/09/2020,999
225,183432,20,0,FAT,170525,KD480117733     ,18/09/2020,999
225,183433,10,0,FAT,171192,BS260020648     ,06/10/2020,216
225,183433,20,0,FAT,171192,KS260120648     ,06/10/2020,216
225,183436,90,0,FAT,171289,KS320020614     ,08/10/2020,44
225,183436,100,0,FAT,170785,KS360020615     ,25/09/2020,44
225,183436,110,0,FAT,172743,KS360020616     ,14/11/2020,44
225,183086,30,0,FAT,170749,KD420019670     ,24/09/2020,115041
225,183438,10,0,FAT,171540,KD420020982     ,15/10/2020,2005
225,183438,20,0,FAT,171540,KD420020983     ,15/10/2020,2005
225,183439,10,0,FAT,170661,BS400020138     ,22/09/2020,3020
225,183439,30,0,FAT,170721,BS400017913     ,23/09/2020,3020
225,183440,10,0,FAT,170984,KS550016502     ,01/10/2020,943
225,183441,10,0,FAT,170722,BS400020496     ,23/09/2020,3020
225,183441,20,0,FAT,170722,KS320020700     ,23/09/2020,3020
225,183442,10,0,FAT,170861,BS320020421     ,27/09/2020,115113
225,183446,10,0,FAT,171298,010019311       ,08/10/2020,115057
225,183446,20,0,FAT,171298,010119311       ,08/10/2020,115057
225,183446,30,0,FAT,171298,010019312       ,08/10/2020,115057
225,183446,40,0,FAT,171298,010119312       ,08/10/2020,115057
225,183446,50,0,FAT,171298,010219312       ,08/10/2020,115057
225,183446,60,0,FAT,171298,010219311       ,08/10/2020,115057
225,183446,70,0,FAT,171298,010319312       ,08/10/2020,115057
225,183446,80,0,FAT,171298,010019329       ,08/10/2020,115057
225,183446,90,0,FAT,171298,010119329       ,08/10/2020,115057
225,183446,100,0,FAT,171298,010219329       ,08/10/2020,115057
225,183446,110,0,FAT,171298,010319329       ,08/10/2020,115057
225,183447,10,0,FAT,170848,KS400020307     ,27/09/2020,115020
225,183448,10,0,FAT,171357,KD420020952     ,09/10/2020,115139
225,183449,10,0,FAT,170703,KS400020993     ,23/09/2020,999
225,183450,10,0,FAT,171018,BS400020996     ,01/10/2020,1021
225,183451,10,0,FAT,170942,BS400020995     ,29/09/2020,1021
